,Knesset_num,Party_ID,Party_name,Start_date,Finish_date
7,20,908,יהדות התורה,31/03/2015,09/01/2019
8,20,909,מרצ,31/03/2015,30/04/2019
9,20,910,"ש""ס",31/03/2015,30/04/2019
10,20,913,"חה""כ אורלי לוי-אבקסיס",15/03/2017,30/04/2019
11,20,914,העבודה הישראלית,01/01/2019,30/04/2019
12,20,915,התנועה,01/01/2019,30/04/2019
13,20,916,הימין החדש,30/12/2018,30/04/2019
14,20,1055,דגל התורה,09/01/2019,30/04/2019
15,20,1056,אגודת ישראל,09/01/2019,30/04/2019
16,20,1057,"תע""ל –",09/01/2019,30/04/2019
0,21,917,כחול לבן,30/04/2019,03/10/2019
1,21,918,"ש""ס",30/04/2019,03/10/2019
2,21,922,"רע""ם - בל""ד - הרשימה הערבית המאוחדת ברית לאומית דמוקרטית",30/04/2019,02/06/2019
3,21,923,הבית היהודי - האיחוד הלאומי,30/04/2019,03/10/2019
4,21,924,"חד""ש תע""ל",30/04/2019,10/07/2019
5,21,925,סיעת העבודה,30/04/2019,03/10/2019
6,21,926,מרצ,30/04/2019,03/10/2019
7,21,928,יהדות התורה,30/04/2019,10/07/2019
8,21,929,ישראל ביתנו,30/04/2019,03/10/2019
9,21,930,כולנו,30/04/2019,03/10/2019
10,21,931,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,30/04/2019,03/10/2019
11,21,1058,"אח""י - ארץ, חברה, יהדות",02/06/2019,04/09/2019
12,21,1059,"רע""ם – רשימת האיחוד הערבי",02/06/2019,03/10/2019
13,21,1060,"בל""ד – ברית לאומית דמוקרטית",02/06/2019,03/10/2019
14,21,1061,"חד""ש",10/07/2019,03/10/2019
15,21,1062,"תע""ל",10/07/2019,03/10/2019
16,21,1063,אגודת ישראל,10/07/2019,03/10/2019
17,21,1064,דגל התורה,10/07/2019,03/10/2019
0,22,932,"ש""ס",03/10/2019,16/03/2020
1,22,933,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,03/10/2019,16/03/2020
2,22,934,העבודה - גשר,03/10/2019,16/03/2020
3,22,935,הבית היהודי - האיחוד הלאומי,10/10/2019,16/03/2020
4,22,936,יהדות התורה והשבת אגודת ישראל - דגל התורה,03/10/2019,30/12/2019
5,22,937,ישראל ביתנו,03/10/2019,16/03/2020
6,22,938,כחול לבן,03/10/2019,16/03/2020
7,22,939,המחנה הדמוקרטי,03/10/2019,16/03/2020
8,22,940,"הרשימה המשותפת חד""ש, רע""ם, תע""ל, בל""ד",03/10/2019,30/12/2019
9,22,941,הימין החדש,10/10/2019,16/03/2020
10,22,1065,אגודת ישראל,30/12/2019,16/03/2020
11,22,1066,דגל התורה,30/12/2019,16/03/2020
12,22,1067,"חד""ש - חזית דמוקרטית לשלום ושוויון",30/12/2019,16/03/2020
13,22,1068,"בל""ד - ברית לאומית דמוקרטית",30/12/2019,16/03/2020
14,22,1069,"רע""מ - רשימת האיחוד הערבי",30/12/2019,16/03/2020
15,22,1070,"תע""ל - התנועה הערבית לשינוי",30/12/2019,16/03/2020
16,22,1077,ימינה,03/10/2019,10/10/2019
0,23,942,הליכוד,16/03/2020,06/04/2021
1,23,943,"הרשימה המשותפת חד""ש, רע""מ, תע""ל, בל""ד",16/03/2020,28/01/2021
2,23,944,יהדות התורה והשבת אגודת ישראל - דגל התורה,16/03/2020,28/12/2020
3,23,945,ישראל ביתנו,16/03/2020,06/04/2021
4,23,946,כחול לבן,29/03/2020,06/04/2021
5,23,947,"ש""ס",16/03/2020,06/04/2021
6,23,948,ימינה,16/03/2020,06/04/2021
7,23,949,העבודה - גשר - מרצ,16/03/2020,23/03/2020
8,23,950,יש עתיד,29/03/2020,29/03/2020
9,23,951,"תל""ם - תנועה לאומית ממלכתית",29/03/2020,29/03/2020
10,23,952,"חה""כ ע'דיר כמאל מריח",29/03/2020,29/03/2020
11,23,953,"חה""כ פנינה תמנו",29/03/2020,29/03/2020
12,23,954,דרך ארץ,29/03/2020,06/04/2021
13,23,955,"יש עתיד - תל""ם",29/03/2020,06/04/2021
14,23,956,העבודה - מרצ,23/03/2020,06/04/2020
15,23,957,גשר,23/03/2020,06/04/2021
16,23,958,העבודה הישראלית,06/04/2020,06/04/2021
17,23,959,מרצ,06/04/2020,06/04/2021
18,23,960,הבית היהודי,14/07/2020,06/04/2021
19,23,1071,אגודת ישראל,28/12/2020,06/04/2021
20,23,1072,דגל התורה,28/12/2020,06/04/2021
21,23,1073,האיחוד הלאומי,20/01/2021,06/04/2021
22,23,1074,הרשימה המשותפת,28/01/2021,06/04/2021
23,23,1075,"רע""מ – רשימת האיחוד הערבי",28/01/2021,06/04/2021
24,23,1076,"תע""ל – התנועה הערבית להתחדשות",28/01/2021,06/04/2021
25,23,1079,כחול לבן,16/03/2020,29/03/2020
0,24,961,הציונות הדתית,06/04/2021,15/11/2022
1,24,962,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,06/04/2021,15/11/2022
2,24,963,העבודה,06/04/2021,15/11/2022
3,24,964,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)",06/04/2021,06/09/2022
4,24,965,יהדות התורה והשבת - אגודת ישראל דגל התורה,06/04/2021,15/08/2022
5,24,966,ימינה,06/04/2021,15/08/2022
6,24,967,יש עתיד,06/04/2021,15/11/2022
7,24,968,ישראל ביתנו,06/04/2021,15/11/2022
8,24,969,כחול לבן,06/04/2021,15/11/2022
9,24,970,מרצ,06/04/2021,15/11/2022
10,24,971,"ש""ס",06/04/2021,15/11/2022
11,24,972,תקווה חדשה,06/04/2021,15/08/2022
12,24,973,הרשימה הערבית המאוחדת,06/04/2021,15/11/2022
13,24,974,עתיד אחד,27/06/2021,27/06/2021
14,24,1080,"ח""כ יחיד - עמיחי שיקלי",25/04/2022,14/07/2022
15,24,1081,עוצמה יהודית,03/07/2022,15/11/2022
16,24,1082,דגל התורה,15/08/2022,15/11/2022
17,24,1083,אגודת ישראל,15/08/2022,15/11/2022
18,24,1084,נעם,15/08/2022,15/11/2022
19,24,1085,המחנה הממלכתי,15/08/2022,15/11/2022
20,24,1086,ביחד,15/08/2022,06/09/2022
21,24,1087,דרך ארץ,15/08/2022,15/11/2022
22,24,1088,תקווה חדשה - אחדות לישראל,15/08/2022,15/11/2022
23,24,1089,"הרשימה המשותפת (חד""ש, בל""ד)",06/09/2022,15/11/2022
24,24,1090,"התנועה הערבית להתחדשות (תע""ל)",06/09/2022,15/11/2022
25,24,1091,ימינה,15/08/2022,15/11/2022
26,24,1092,חופש כלכלי,15/09/2022,15/11/2022
0,25,1095,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",15/11/2022,
1,25,1096,הליכוד,15/11/2022,
2,25,1097,הציונות הדתית (הסיעה נסגרה),15/11/2022,20/11/2022
3,25,1098,המחנה הממלכתי,15/11/2022,
4,25,1099,"רע""ם",15/11/2022,
5,25,1100,העבודה,15/11/2022,
6,25,1101,יהדות התורה,15/11/2022,
7,25,1102,יש עתיד,15/11/2022,
8,25,1103,"חד""ש-תע""ל",15/11/2022,
9,25,1104,ישראל ביתנו,15/11/2022,
10,25,1105,הציונות הדתית,20/11/2022,
11,25,1106,עוצמה יהודית,20/11/2022,
12,25,1107,נעם,20/11/2022,
